Title,Year,Journal,Authors,Link,Key_word1,Key_word2,Key_word3,Key_word4,Key_word5,Study_Type,Tags
Virtual reality as complementary pain therapy in hospitalized patients with sickle  cell disease.,2019,Pediatric blood & cancer,"Agrawal, Anurag K.; Robertson, Simon; Litwin, Liat; Tringale, Erica; Treadwell, Marsha; Hoppe, Carolyn; Marsh, Anne",https://doi.org/10.1002/pbc.27525,All,Pain,Patient Study,Pediatric,,Experiment,Pain Patient Study Pediatric
Virtual Reality interventions for acute and chronic pain management,2019,The International Journal of Biochemistry & Cell Biology,"Ahmadpour, Naseem; Randall, Hayden; Choksi, Harsham; Gao, Antony; Vaughan, Christopher; Poronnik, Philip",https://doi.org/10.1016/j.biocel.2019.105568,Methods Development,Pain,,,,Review,Methods Development Pain   
Virtual Reality for Peripheral Regional Anesthesia (VR-PERLA Study),2020,Journal of Clinical Medicine,"Alaterre, Camille; Duceau, Baptiste; Sung Tsai, Eileen; Zriouel, Siham; Bonnet, Francis; Lescot, Thomas; Verdonk, Franck",https://doi.org/10.3390/jcm9010215,Pain,Patient Study,Anxiety/ Stress,,,Experiment,Pain Patient Study Anxiety/ Stress  
"Efficacy of virtual reality to reduce chronic low back pain: Proof-of-concept of a non-pharmacological approach on pain, quality of life, neuropsychological and functional outcome",2019,PloS One,"Alemanno, Federica; Houdayer, Elise; Emedoli, Daniele; Locatelli, Matteo; Mortini, Pietro; Mandelli, Carlo; Raggi, Alberto; Iannaccone, Sandro",https://doi.org/10.1371/journal.pone.0216858,Pain,Patient Study,Anxiety/ Stress,,,Experiment,Pain Patient Study Anxiety/ Stress  
"Learning in virtual reality: Effects on performance, emotion and engagement",2018,Research in Learning Technology,"Allcoat, Devon; Mühlenen, Adrian von",https://doi.org/10.25304/rlt.v26.2140,Learning/ Training,Memory,,,,Experiment,Learning/ Training Memory   
Contextual fear conditioning in humans: cortical-hippocampal and amygdala contributions,2008,The Journal of Neuroscience: The Official Journal of the Society for Neuroscience,"Alvarez, Ruben P.; Biggs, Arter; Chen, Gang; Pine, Daniel S.; Grillon, Christian",https://doi.org/10.1523/JNEUROSCI.1246-08.2008,Anxiety/ Stress,,Neuroscience,Memory,,Experiment,Anxiety/ Stress  Neuroscience Memory 
Phasic and sustained fear in humans elicits distinct patterns of brain activity,2011,NeuroImage,"Alvarez, Ruben P.; Chen, Gang; Bodurka, Jerzy; Kaplan, Raphael; Grillon, Christian",https://doi.org/10.1016/j.neuroimage.2010.11.057,Anxiety/ Stress,Neuroscience,,,,Experiment,Anxiety/ Stress Neuroscience   
Initial and sustained brain responses to contextual conditioned anxiety in humans,2015,Cortex; a Journal Devoted to the Study of the Nervous System and Behavior,"Andreatta, Marta; Glotzbach-Schoon, Evelyn; Mühlberger, Andreas; Schulz, Stefan M.; Wiemer, Julian; Pauli, Paul",https://doi.org/10.1016/j.cortex.2014.09.014,Anxiety/ Stress,,Neuroscience,,,Experiment,Anxiety/ Stress  Neuroscience  
Using a Virtual Reality Headset to Decrease Pain Felt During a Venipuncture  Procedure in Children.,2019,Journal of perianesthesia nursing : official journal of the American Society of  PeriAnesthesia Nurses,"Aydın, Ayla İrem; Özyazıcıoğlu, Nurcan",https://doi.org/10.1016/j.jopan.2019.05.134,Pain,Pediatric,Patient Study,,,Experiment,Pain Pediatric Patient Study  
Virtual reality as a distraction technique for pain and anxiety among patients with  breast cancer: A randomized control trial.,2019,Palliative & supportive care,"Bani Mohammad, Eslam; Ahmad, Muayyad",https://doi.org/10.1017/S1478951518000639,Cancer,Pain,Anxiety/ Stress,Patient Study,,Randomised Controlled Trial,Cancer Pain Anxiety/ Stress Patient Study 
A positive psychological intervention using virtual reality for patients with  advanced cancer in a hospital setting: a pilot study to assess feasibility.,2013,Supportive care in cancer : official journal of the Multinational Association of  Supportive Care in Cancer,"Baños, Rosa M.; Espinoza, Macarena; García-Palacios, Azucena; Cervera, José M.; Esquerdo, Gaspar; Barrajón, Enrique; Botella, Cristina",https://doi.org/10.1007/s00520-012-1520-x,Cancer,Anxiety/ Stress,Patient Study,,,Experiment (proof-of-concept),Cancer Anxiety/ Stress Patient Study  
Effect of an Immersive Preoperative Virtual Reality Experience on Patient Reported  Outcomes: A Randomized Controlled Trial.,2017,Annals of surgery,"Bekelis, Kimon; Calnan, Daniel; Simmons, Nathan; MacKenzie, Todd A.; Kakoulides, George",https://doi.org/10.1097/SLA.0000000000002094,Pain,Anxiety/ Stress,Patient Study,,,Randomised Controlled Trial,Pain Anxiety/ Stress Patient Study  
Immersive Virtual Reality for the Management of Pain in Community-Dwelling Older  Adults.,2019,"OTJR : occupation, participation and health","Benham, Sara; Kang, Minhee; Grampurohit, Namrata",https://doi.org/10.1177/1539449218817291,Pain,Ageing,,,,Experiment,Pain Ageing   
Use of Virtual Reality Tools for Vestibular Disorders Rehabilitation: A Comprehensive Analysis,2015,Advances in Medicine,"Bergeron, Mathieu; Lortie, Catherine L.; Guitton, Matthieu J.",https://doi.org/10.1155/2015/916735,Vestibular,Physical Therapy,Methods Development,,,Review,Vestibular Physical Therapy Methods Development  
Heart Rate Variability Biofeedback Based on Slow-Paced Breathing With Immersive Virtual Reality Nature Scenery,2019,Frontiers in Psychology,"Blum, Johannes; Rockstroh, Christoph; Göritz, Anja S.",https://doi.org/10.3389/fpsyg.2019.02172,Biofeedback,Anxiety/ Stress,,Methods Development,,Experiment,Biofeedback Anxiety/ Stress  Methods Development 
Development and Pilot Test of a Virtual Reality Respiratory Biofeedback Approach,2020,Applied Psychophysiology and Biofeedback,"Blum, Johannes; Rockstroh, Christoph; Göritz, Anja S.",https://doi.org/10.1007/s10484-020-09468-x,Biofeedback,Methods Development,,,,Experiment (proof-of-concept),Biofeedback Methods Development   
Virtual Reality in the Treatment of Fibromyalgia: A Pilot Study,2013,"Cyberpsychology, Behavior, and Social Networking","Botella, Cristina; Garcia-Palacios, Azucena; Vizcaíno, Yolanda; Herrero, Rocio; Baños, Rosa Maria; Belmonte, Miguel Angel",https://doi.org/10.1089/cyber.2012.1572,Pain,Patient Study,Anxiety/ Stress,,,Experiment (proof-of-concept),Pain Patient Study Anxiety/ Stress  
Efficacy of a children's procedural preparation and distraction device on healing in  acute burn wound care procedures: study protocol for a randomized controlled trial.,2012,Trials,"Brown, Nadia J.; Rodger, Sylvia; Ware, Robert S.; Kimble, Roy M.; Cuttle, Leila",https://doi.org/10.1186/1745-6215-13-238,Pediatric,Pain,Burn Injuries,Anxiety/ Stress,,Experiment (proof-of-concept),Pediatric Pain Burn Injuries Anxiety/ Stress 
Virtual reality exposure therapy for anxiety and related disorders: A meta-analysis of randomized controlled trials,2019,Journal of Anxiety Disorders,"Carl, Emily; Stein, Aliza T.; Levihn-Coon, Andrew; Pogue, Jamie R.; Rothbaum, Barbara; Emmelkamp, Paul; Asmundson, Gordon J. G.; Carlbring, Per; Powers, Mark B.",https://doi.org/10.1016/j.janxdis.2018.08.003,Anxiety/ Stress,Patient Study,,,,Meta-Analysis,Anxiety/ Stress Patient Study   
The effect of virtual reality on pain and range of motion in adults with burn  injuries.,2009,Journal of burn care & research : official publication of the American Burn  Association,"Carrougher, Gretchen J.; Hoffman, Hunter G.; Nakamura, Dana; Lezotte, Dennis; Soltani, Maryam; Leahy, Laura; Engrav, Loren H.; Patterson, David R.",https://doi.org/10.1097/BCR.0b013e3181b485d3,Pain,Patient Study,Physical Therapy,Burn Injuries,,Experiment,Pain Patient Study Physical Therapy Burn Injuries 
Virtual Reality for Pediatric Needle Procedural Pain: Two Randomized Clinical  Trials.,2019,The Journal of pediatrics,"Chan, Evelyn; Hovenden, Michael; Ramage, Emma; Ling, Norman; Pham, Jeanette H.; Rahim, Ayesha; Lam, Connie; Liu, Linly; Foster, Samantha; Sambell, Ryan; Jeyachanthiran, Kasthoori; Crock, Catherine; Stock, Amanda; Hopper, Sandy M.; Cohen, Simon; Davidson, Andrew; Plummer, Karin; Mills, Erin; Craig, Simon S.; Deng, Gary; Leong, Paul",https://doi.org/10.1016/j.jpeds.2019.02.034,Pain,Pediatric,Patient Study,,,Randomised Clinical Trial,Pain Pediatric Patient Study  
Virtual reality improves sleep quality amongst older adults with disabilities,2014,International Journal of Geriatric Psychiatry,"Chang, Liang-Chih; Wang, Ching-Yi; Yu, Ping",https://doi.org/10.1002/gps.4172,Ageing,Sleep,Patient Study,Anxiety/ Stress,,Experiment,Ageing Sleep Patient Study Anxiety/ Stress 
Distraction using virtual reality for children during intravenous injections in an  emergency department: A randomised trial.,2020,Journal of clinical nursing,"Chen, Yen-Ju; Cheng, Su-Fen; Lee, Pi-Chang; Lai, Chi-Hsiu; Hou, I.-Ching; Chen, Chi-Wen",https://doi.org/10.1111/jocn.15088,Pain,Anxiety/ Stress,Patient Study,Pediatric,,Randomised Controlled Trial,Pain Anxiety/ Stress Patient Study Pediatric 
Virtual Reality in Health System: Beyond Entertainment. A Mini-Review on the Efficacy of VR During Cancer Treatment,2016,Journal of Cellular Physiology,"Chirico, Andrea; Lucidi, Fabio; De Laurentiis, Michele; Milanese, Carla; Napoli, Alessandro; Giordano, Antonio",https://doi.org/10.1002/jcp.25117,Cancer,Patient Study,Biofeedback,Pain,Anxiety/ Stress,Systematic Review,Cancer Patient Study Biofeedback Pain Anxiety/ Stress
Virtual Reality in the Intensive Care Unit: State of Play and Future Prospects,2019,ICU Management & Practice,"Clovet, Olivier; Esnault, Amaury; Lescot, Thomas",https://healthmanagement.org/uploads/article_attachment/icu-v19-i3-victorbeaucote-olivierclovet-virtualrealityintheintensivecareunitstateof-playandfutureprospects.pdf,Patient Study,Pain,Anxiety/ Stress,Sleep,,Review,Patient Study Pain Anxiety/ Stress Sleep 
Virtual reality may decrease pain during labor,2019,American Journal of Obstetrics & Gynecology,"Cowles, Steven D.; Norton, Taylor; Quiner, Trevor; Hannaford, Karen; Foley, Michael",https://doi.org/10.1016/j.ajog.2018.11.829,Maternity,Pain,,,,Randomised Controlled Trial (pilot),Maternity Pain   
Active and passive distraction using a head-mounted display helmet: effects on cold  pressor pain in children.,2007,"Health psychology : official journal of the Division of Health Psychology, American  Psychological Association","Dahlquist, Lynnda M.; McKenna, Kristine D.; Jones, Katia K.; Dillinger, Lindsay; Weiss, Karen E.; Ackerman, Claire Sonntag",https://doi.org/10.1037/0278-6133.26.6.794,Pain,Pediatric,,,,Experiment,Pain Pediatric   
Effects of videogame distraction using a virtual reality type head-mounted display  helmet on cold pressor pain in children.,2009,Journal of pediatric psychology,"Dahlquist, Lynnda M.; Weiss, Karen E.; Clendaniel, Lindsay Dillinger; Law, Emily F.; Ackerman, Claire Sonntag; McKenna, Kristine D.",https://doi.org/10.1093/jpepsy/jsn023,Pain,Pediatric,,,,Experiment,Pain Pediatric   
Self-Administered Skills-Based Virtual Reality Intervention for Chronic Pain: Randomized Controlled Pilot Study,2020,JMIR Formative Research,"Darnall, Beth D.; Krishnamurthy, Parthasarathy; Tsuei, Jeannette; Minor, Jorge D.",https://doi.org/10.2196/17293,Pain,Anxiety/ Stress,Sleep,Methods Development,,Randomised Controlled Trial,Pain Anxiety/ Stress Sleep Methods Development 
The efficacy of playing a virtual reality game in modulating pain for children with  acute burn injuries: a randomized controlled trial [ISRCTN87413556].,2005,BMC pediatrics,"Das, Debashish A.; Grimmer, Karen A.; Sparnon, Anthony L.; McRae, Sarah E.; Thomas, Bruce H.",https://doi.org/10.1186/1471-2431-5-1,Pediatric,Pain,Burn Injuries,Patient Study,,Randomised Controlled Trial,Pediatric Pain Burn Injuries Patient Study 
Virtual reality therapy for rehabilitation of balance in the elderly: a systematic review and META-analysis,2018,"Advances in Rheumatology (London, England)","de Amorim, Juleimar Soares Coelho; Leite, Renata Cristine; Brizola, Renata; Yonamine, Cristhiane Yumi",https://doi.org/10.1186/s42358-018-0013-0,Ageing,Patient Study,,,,Systematic Review,Ageing Patient Study   
